subject,repeat,scenario,method,accuracy,macro_f1
101,1,axis_loss,late_fusion,0.6491302503182012,0.6207982041692093
101,1,rotation_axis_loss,CWR,0.47093763258379295,0.4362025295695204
101,1,rotation_axis_loss,CWR_frozen,0.43190496393720834,0.40736517494758107
101,1,rotation_axis_loss,plain_GCCA,0.33729316928298686,0.26239635580555304
101,1,rotation_axis_loss,concat_PCA,0.443360203648706,0.3813250353837551
101,1,rotation_axis_loss,ALS,0.46414934238438693,0.4085967845278911
101,1,rotation_axis_loss,late_fusion,0.6805260924904539,0.6447249948108994
101,2,stable,CWR,0.48790835808230804,0.44859813255831976
101,2,stable,CWR_frozen,0.48790835808230804,0.44859813255831976
101,2,stable,plain_GCCA,0.4289350869749682,0.3711983617014431
101,2,stable,concat_PCA,0.4773016546457361,0.4313191193975205
101,2,stable,ALS,0.46372507424692405,0.41035680286076476
101,2,stable,late_fusion,0.6991938905388205,0.6568838480867777
101,2,rotation,CWR,0.5142129826050064,0.4744331485934689
101,2,rotation,CWR_frozen,0.4263894781501909,0.3445402841336669
101,2,rotation,plain_GCCA,0.3920237590156979,0.3329958406145322
101,2,rotation,concat_PCA,0.4594823928722953,0.3709660896826781
101,2,rotation,ALS,0.47815019092066186,0.38902802212480075
101,2,rotation,late_fusion,0.663555366991939,0.6122342911672422
101,2,axis_loss,CWR,0.5142129826050064,0.46606963217383496
101,2,axis_loss,CWR_frozen,0.5142129826050064,0.46606963217383496
101,2,axis_loss,plain_GCCA,0.4331777683495969,0.38468934058504195
101,2,axis_loss,concat_PCA,0.566822231650403,0.4996140502611121
101,2,axis_loss,ALS,0.5744590581247349,0.5110669881143951
101,2,axis_loss,late_fusion,0.6571913449299958,0.6072412137197257
101,2,rotation_axis_loss,CWR,0.5040305473058974,0.47090882197224454
101,2,rotation_axis_loss,CWR_frozen,0.4068731438268986,0.33420248196287866
101,2,rotation_axis_loss,plain_GCCA,0.3759015697921086,0.3194453891222271
101,2,rotation_axis_loss,concat_PCA,0.3941450997030123,0.3415541137475568
101,2,rotation_axis_loss,ALS,0.41535850657615614,0.3698609404740906
101,2,rotation_axis_loss,late_fusion,0.628765379719983,0.5605140446859356
102,0,stable,CWR,0.5980707395498392,0.6097268731371662
102,0,stable,CWR_frozen,0.5980707395498392,0.6097268731371662
102,0,stable,plain_GCCA,0.5787781350482315,0.552907285450927
102,0,stable,concat_PCA,0.6808681672025724,0.6349008497857271
102,0,stable,ALS,0.6961414790996785,0.6577239500075461
102,0,stable,late_fusion,0.8942926045016077,0.8813551789817146
102,0,rotation,CWR,0.6929260450160771,0.7024283554962752
102,0,rotation,CWR_frozen,0.33038585209003213,0.2826518318640932
102,0,rotation,plain_GCCA,0.2938102893890675,0.2376968390971793
102,0,rotation,concat_PCA,0.5976688102893891,0.5467108247932942
102,0,rotation,ALS,0.6254019292604501,0.5785162114757056
102,0,rotation,late_fusion,0.5759646302250804,0.5063773028534149
102,0,axis_loss,CWR,0.5490353697749196,0.5496947301809647
102,0,axis_loss,CWR_frozen,0.5490353697749196,0.5496947301809647
102,0,axis_loss,plain_GCCA,0.5462218649517685,0.5072199625499183
102,0,axis_loss,concat_PCA,0.6209807073954984,0.5825717061673794
102,0,axis_loss,ALS,0.6266077170418006,0.6110666108720473
102,0,axis_loss,late_fusion,0.8689710610932476,0.8592578861338241
102,0,rotation_axis_loss,CWR,0.6603697749196141,0.6740273516239675
102,0,rotation_axis_loss,CWR_frozen,0.3882636655948553,0.3745032295595081
102,0,rotation_axis_loss,plain_GCCA,0.36012861736334406,0.31052231175803147
102,0,rotation_axis_loss,concat_PCA,0.48432475884244375,0.44449100692657856
102,0,rotation_axis_loss,ALS,0.5108520900321544,0.48310997525891053
102,0,rotation_axis_loss,late_fusion,0.5984726688102894,0.5634457276347438
102,1,stable,CWR,0.6016881028938906,0.6134570387904977
102,1,stable,CWR_frozen,0.6016881028938906,0.6134570387904977
102,1,stable,plain_GCCA,0.5679260450160771,0.5510138827770703
102,1,stable,concat_PCA,0.6688102893890675,0.6432763282470898
102,1,stable,ALS,0.6993569131832797,0.6764433604343912
102,1,stable,late_fusion,0.8946945337620579,0.8810154790850716
102,1,rotation,CWR,0.6627813504823151,0.6769737278258408
102,1,rotation,CWR_frozen,0.5860128617363344,0.5883955068444185
102,1,rotation,plain_GCCA,0.5618971061093248,0.5223807889162658
102,1,rotation,concat_PCA,0.5385852090032154,0.47752873309306004
102,1,rotation,ALS,0.552652733118971,0.49264651349501226
102,1,rotation,late_fusion,0.5791800643086816,0.5287963447360012
102,1,axis_loss,CWR,0.5514469453376206,0.5520812949406987
102,1,axis_loss,CWR_frozen,0.5514469453376206,0.5520812949406987
102,1,axis_loss,plain_GCCA,0.4815112540192926,0.38701951342580093
